"","SalePrice","GrLivArea","2ndFlrSF","TotalBsmtSF","GarageArea","Fireplaces.0","LotArea","ExterQual.TA","YearBuilt","GarageCars.2","OverallQual.7","GarageCars.3","FullBath.1","YearRemodAdd","GarageYrBlt","KitchenQual.TA","BsmtFinSF1","OverallQual.8","GarageFinish.Unf","ExterQual.Gd","KitchenQual.Gd","BsmtQual.TA","BsmtQual.Gd","MSSubClass.60","FullBath.2","Foundation.PConc","HalfBath.1","MSZoning.RM","MSZoning.RL"
"1",142000,-0.874368888210432,-0.794890864438069,-0.00325834216066477,-0.790347570418077,0,-0.207070756682052,1,-0.10819516608658,0,0,0,1,-0.816925216429227,-0.441264807931385,1,0.726510986620574,0,1,0,0,1,0,0,0,0,0,0,1
"2",124000,-1.11034344389643,-0.794890864438069,-0.285908205489268,-0.780993245294265,0,-0.224102666079479,1,-0.704164347548609,0,0,0,1,-1.68878984799844,-1.19135789670478,0,-0.972684900323612,0,1,0,1,1,0,0,0,0,0,0,1
"3",114504,-0.280626457774686,0.772017368266903,-0.851207932146475,-1.20193787586581,1,-0.692981113020419,1,-2.02854030635312,0,0,0,1,0.393997882972452,-2.02479466200856,1,-0.972684900323612,0,1,0,0,1,0,0,0,0,0,1,0
"4",143000,-0.356747282189525,-0.794890864438069,0.616747809656917,0.257336843448868,0,-0.0728192355493898,1,-0.273742160937143,1,0,0,1,-1.05910983630956,-0.649623999257329,1,0.2748537573167,0,1,0,0,1,0,0,0,0,1,0,1
"5",232000,0.290279725336609,-0.794890864438069,1.36668172123039,0.135730616839312,0,0.0118393729260577,0,1.05063379786737,1,0,0,0,0.878367122733124,1.01724953135022,0,-0.161455896234129,1,0,1,1,0,1,0,1,1,0,0,1
"6",180000,1.31600783432657,-0.794890864438069,2.02771769191825,0.481840646420356,0,0.940078435085845,1,-0.0419763681463542,1,1,0,0,0.200250187068183,-0.357921131401008,1,1.02688496921587,0,0,0,0,0,1,0,1,0,0,0,1
"7",160000,0.446327415387029,0.962153893580518,-0.169657052023472,-0.233765225551262,1,0.199490939404771,1,-1.03525833724974,0,0,0,0,0.00650249116391488,0.433843795637579,1,0.474372242106276,0,1,0,0,0,1,0,1,0,0,0,1
"8",155000,-0.737351404263721,-0.794890864438069,0.142625458267001,0.24330535576315,1,-0.1820238310976,1,-0.273742160937143,1,0,0,0,-1.05910983630956,-0.649623999257329,1,0.728703497442438,0,0,0,0,1,0,0,1,0,0,0,1
"9",200000,0.328340137544028,1.66084835407031,-1.00620947010087,0.608124035591818,1,0.228545373082736,1,0.85197740404669,1,0,0,0,0.587745578876721,0.767218501759089,0,0.0402550993773096,0,0,0,1,0,1,1,1,1,1,0,1
"10",110000,-0.234953963125782,-0.794890864438069,0.762631610084583,0.481840646420356,0,0.304888402264145,1,-0.10819516608658,1,0,0,1,-0.816925216429227,-0.441264807931385,1,-0.972684900323612,0,0,0,0,0,0,0,0,0,0,0,1
"11",136000,1.92307140903491,1.17978003701176,-0.782824900696006,-1.20193787586581,0,-0.200057617518406,1,-1.82988391253244,0,0,0,0,-1.68878984799844,-2.6082003977212,0,-0.604343082250549,0,1,0,1,1,0,0,1,0,0,1,0
"12",145500,-0.880077950041545,-0.794890864438069,-0.0100966453057116,-0.752930269922829,1,-0.0510785041420855,0,-0.406179756817594,0,0,0,1,1.02367789466132,-0.816311352318084,0,0.794478822098342,0,0,1,1,1,0,0,0,0,1,0,1
"13",336000,2.08673118152681,2.26561995265819,0.381966068343641,0.949556902610957,0,0.16893369019174,0,0.885086803016803,0,0,1,0,0.684619426828855,0.808890340024278,0,0.899719341547788,1,0,1,1,0,1,1,1,1,1,0,1
"14",185000,1.16186316488652,1.41802339403123,-0.101274020573003,0.304108469067928,1,1.82152984025388,1,-0.141304565056692,1,0,0,0,-0.865362140405294,-0.482936646196574,1,-0.426749705679609,0,0,0,0,1,0,1,1,1,1,0,1
"15",141000,-0.828696393561528,-0.794890864438069,0.0514480829997101,-2.2122049892375,1,-0.302249073902969,1,1.08374319683748,0,1,0,1,0.975240970685258,0.0587972512508799,0,0.518222458543545,0,1,0,1,0,1,0,0,1,0,0,1
"16",225000,0.889731217603468,1.44551301214886,-0.181054223931883,0.0796046660964399,0,0.0245632111229592,0,0.918196201986916,1,1,0,0,0.684619426828855,0.850562178289466,0,0.548917610049634,0,0,1,1,0,1,1,1,1,1,0,1
"17",177500,-0.600333920317011,-0.794890864438069,0.324980208801584,0.224596705515526,1,0.0733546221614716,0,0.785758606106465,1,0,0,0,0.490871730924586,0.683874825228711,0,-0.240386285821214,0,0,1,1,0,1,0,1,1,0,0,1
"18",158000,-0.680260785952592,-0.794890864438069,0.229243964770928,0.481840646420356,1,0.255996803523295,1,1.08374319683748,1,0,0,1,0.926804046709191,1.14226504614579,0,1.09046778304991,0,1,0,1,0,1,0,0,1,1,0,1
"19",148000,-0.843920558444496,-0.794890864438069,-1.16349044243695,0.24330535576315,1,-0.685467035345083,1,1.11685259580759,1,0,0,1,0.975240970685258,1.1005932078806,1,0.0336775669117192,0,0,0,0,0,1,0,0,1,0,1,0
"20",239000,0.105686726130623,-0.794890864438069,1.17065036440571,1.16470638045863,0,0.0475061949583172,0,1.18307139374782,0,0,1,0,1.07211481863739,1.18393688441098,0,-0.972684900323612,1,0,1,1,0,1,0,1,1,0,0,1
"21",227000,0.109492767351365,-0.794890864438069,1.17520923316908,0.332171444439364,1,-0.0710158569073093,0,1.01752439889725,1,1,0,0,0.829930198757056,0.975577693085033,0,0.755013627304799,0,0,1,1,0,1,0,1,1,0,0,1
"22",136500,-0.885787011872658,-0.794890864438069,-0.0169349484507585,-0.491009166456093,1,0.014243877782165,1,-0.339960958877369,0,0,0,1,-1.1559836842617,-0.732967675787706,1,1.03346250168146,0,1,0,0,1,0,0,0,0,0,0,1
